raw,sub,rating,start,end
juliecrawley25 GininjaDesign Donna_Butlin Nope it s just Camden eating Greek food with a pumpkin Just another Wednesday,just Camden eating Greek food with a,0.66,6,12
juliecrawley25 GininjaDesign Donna_Butlin Nope it s just Camden eating Greek food with a pumpkin Just another Wednesday,pumpkin,0.33,13,13
juliecrawley25 GininjaDesign Donna_Butlin Nope it s just Camden eating Greek food with a pumpkin Just another Wednesday,Just another,0.66,14,15
FAQ What is skeuomorphic design and the executive shakeup at Apple SAN FRANCISCO CA MARCH 07 Apple CEO http bit ly T89gNo,FAQ What is skeuomorphic design and the executive shakeup at Apple SAN FRANCISCO CA MARCH 07 Apple CEO http bit ly T89gNo,0.66,0,21
Omg Ricky Martin may be gay but he is one fine ass gay man,Omg Ricky Martin may be gay but he is one,0.66,0,9
Omg Ricky Martin may be gay but he is one fine ass gay man,fine ass,1.0,10,11
Omg Ricky Martin may be gay but he is one fine ass gay man,gay man,0.66,12,13
Noel Gallagher Musicians are fucking idiots Yeah Brian May he s an idiot an idiot who just so happens to be a professor,Noel Gallagher Musicians are,0.66,0,3
Noel Gallagher Musicians are fucking idiots Yeah Brian May he s an idiot an idiot who just so happens to be a professor,fucking idiots,0.0,4,5
Noel Gallagher Musicians are fucking idiots Yeah Brian May he s an idiot an idiot who just so happens to be a professor,Yeah Brian May he s an idiot an idiot who just so happens,0.66,6,18
Noel Gallagher Musicians are fucking idiots Yeah Brian May he s an idiot an idiot who just so happens to be a professor,to be a professor,1.0,19,22
Noel Gallagher Musicians are fucking idiots Yeah Brian May he s an idiot an idiot who just so happens to be a professor,,0.66,23,23
Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday http bit ly V6sjMm,Vow is,0.66,0,1
Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday http bit ly V6sjMm,likely,0.33,2,2
Vow is likely to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday http bit ly V6sjMm,to return from a midsummer break in the Prix de Royallieu at Longchamp on Saturday http,0.66,3,18
Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo,Real_Liam_Payne I wanted you to know that here in Argentina is going to make a directioner fest 10 November te Amo TE AMO te amo,0.66,0,24
Its November already Christmas will be here soon then New Year then Valentine s day then GRADUATION,Its November already Christmas will be here soon then New Year then Valentine s day then,0.66,0,15
NowPlaying Michael Jackson She s Out of My Life Live At Wembley July 16 http mjtunes com michael jackson radio L O V E it MjTunes,NowPlaying Michael Jackson She s,0.66,0,4
NowPlaying Michael Jackson She s Out of My Life Live At Wembley July 16 http mjtunes com michael jackson radio L O V E it MjTunes,Out,0.0,5,5
NowPlaying Michael Jackson She s Out of My Life Live At Wembley July 16 http mjtunes com michael jackson radio L O V E it MjTunes,of My Life Live At Wembley July 16 http,0.66,6,14
NowPlaying Michael Jackson She s Out of My Life Live At Wembley July 16 http mjtunes com michael jackson radio L O V E it MjTunes,mjtunes,1.0,15,15
NowPlaying Michael Jackson She s Out of My Life Live At Wembley July 16 http mjtunes com michael jackson radio L O V E it MjTunes,com michael,0.66,16,17
Niggas be on the LAKERS DICK we still gon finish damn near first seed while yo team be struggling for the 8th spot,Niggas be on the LAKERS DICK we still gon finish damn near first seed while yo,0.66,0,15
Niggas be on the LAKERS DICK we still gon finish damn near first seed while yo team be struggling for the 8th spot,team,0.0,16,16
Niggas be on the LAKERS DICK we still gon finish damn near first seed while yo team be struggling for the 8th spot,be struggling for the,0.66,17,20
I need another Viv necklace May buy myself one for Valentines day nojoke,I need another Viv necklace May buy myself one for Valentines day,0.66,0,11
I need another Viv necklace May buy myself one for Valentines day nojoke,nojoke,1.0,12,12
I m in the bathroom bumping Niggas In Paris Crunk ass hell like it s my 1st time hearing it this song will never get old lol,I m in the bathroom bumping Niggas In Paris Crunk ass hell like it s my 1st time hearing it,0.66,0,19
I m in the bathroom bumping Niggas In Paris Crunk ass hell like it s my 1st time hearing it this song will never get old lol,this song will never,1.0,20,23
I m in the bathroom bumping Niggas In Paris Crunk ass hell like it s my 1st time hearing it this song will never get old lol,get,0.66,24,24
Just got tickets to see Muse in Florida That combined with the Grammys two weeks prior equals a really busy February for Ruby and myself,Just got tickets to see Muse in Florida That combined with the Grammys two weeks prior equals a,0.66,0,17
Just got tickets to see Muse in Florida That combined with the Grammys two weeks prior equals a really busy February for Ruby and myself,really busy,1.0,18,19
Just got tickets to see Muse in Florida That combined with the Grammys two weeks prior equals a really busy February for Ruby and myself,February for Ruby and myself,0.66,20,24
Battle for the 17th banner Royal Rumble basketball edition,Battle for the 17th banner Royal Rumble basketball edition,0.66,0,8
4th Album out RED 20MillionSwifties 6 Grammy Awards 10 AMAs 13 BMI Awards Reigning Entertainer of the Year ACM 6YearsTaylorSwift,4th Album out RED 20MillionSwifties 6 Grammy Awards 10 AMAs 13 BMI Awards Reigning Entertainer of the Year ACM 6YearsTaylorSwift,0.66,0,20
Smooches from Fido Yea or Nay July 6th was International Kissing Day of the human sort Later in the month Ca http ow ly 1lwzys,Smooches from Fido Yea or Nay July 6th was International Kissing Day of the human sort Later in the month Ca http ow,0.66,0,22
It s midnight on the east coast which means its nickjonas birthday HAPPY 20th BIRTHDAY NICK J 333,It s midnight on the east coast which means its nickjonas,0.66,0,10
It s midnight on the east coast which means its nickjonas birthday HAPPY 20th BIRTHDAY NICK J 333,birthday,1.0,11,11
It s midnight on the east coast which means its nickjonas birthday HAPPY 20th BIRTHDAY NICK J 333,HAPPY 20th BIRTHDAY NICK J,0.66,12,16
